2025-05-03 10:46:51,900 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/spectre/Documents/Subjects/Selected Topics/new version/rag-pipeline/app.py', wd=1, mask=IN_CLOSE_NOWRITE, cookie=0, name='app.py'> - [inotify_buffer.py:52]
2025-05-03 10:46:51,900 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/spectre/Documents/Subjects/Selected Topics/new version/rag-pipeline', wd=1, mask=IN_ISDIR|IN_OPEN, cookie=0, name=''> - [inotify_buffer.py:52]
2025-05-03 10:46:51,901 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/spectre/Documents/Subjects/Selected Topics/new version/rag-pipeline', wd=1, mask=IN_CLOSE_NOWRITE|IN_ISDIR, cookie=0, name=''> - [inotify_buffer.py:52]
2025-05-03 10:46:51,945 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/spectre/Documents/Subjects/Selected Topics/new version/rag-pipeline', wd=1, mask=IN_ISDIR|IN_OPEN, cookie=0, name=''> - [inotify_buffer.py:52]
2025-05-03 10:46:51,946 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/spectre/Documents/Subjects/Selected Topics/new version/rag-pipeline', wd=1, mask=IN_CLOSE_NOWRITE|IN_ISDIR, cookie=0, name=''> - [inotify_buffer.py:52]
2025-05-03 10:46:52,645 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/spectre/Documents/Subjects/Selected Topics/new version/rag-pipeline/src/models/__pycache__/base.cpython-310.pyc', wd=25, mask=IN_OPEN, cookie=0, name='base.cpython-310.pyc'> - [inotify_buffer.py:52]
2025-05-03 10:46:52,646 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/spectre/Documents/Subjects/Selected Topics/new version/rag-pipeline/src/models/__pycache__/base.cpython-310.pyc', wd=25, mask=IN_CLOSE_NOWRITE, cookie=0, name='base.cpython-310.pyc'> - [inotify_buffer.py:52]
2025-05-03 10:46:52,647 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/spectre/Documents/Subjects/Selected Topics/new version/rag-pipeline/src/models/__pycache__/langchain_groq.cpython-310.pyc', wd=25, mask=IN_OPEN, cookie=0, name='langchain_groq.cpython-310.pyc'> - [inotify_buffer.py:52]
2025-05-03 10:46:52,648 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/spectre/Documents/Subjects/Selected Topics/new version/rag-pipeline/src/models/__pycache__/langchain_groq.cpython-310.pyc', wd=25, mask=IN_CLOSE_NOWRITE, cookie=0, name='langchain_groq.cpython-310.pyc'> - [inotify_buffer.py:52]
2025-05-03 10:46:52,651 - app - INFO - Starting Course Exam Generator application - [app.py:19]
2025-05-03 10:46:52,665 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/spectre/Documents/Subjects/Selected Topics/new version/rag-pipeline', wd=1, mask=IN_ISDIR|IN_OPEN, cookie=0, name=''> - [inotify_buffer.py:52]
2025-05-03 10:46:52,666 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/spectre/Documents/Subjects/Selected Topics/new version/rag-pipeline', wd=1, mask=IN_CLOSE_NOWRITE|IN_ISDIR, cookie=0, name=''> - [inotify_buffer.py:52]
2025-05-03 10:46:52,679 - watchdog.observers.inotify_buffer - DEBUG - in-event <InotifyEvent: src_path=b'/home/spectre/Documents/Subjects/Selected Topics/new version/rag-pipeline/src/models/__pycache__/langchain_google.cpython-310.pyc', wd=25, mask=IN_OPEN, cookie=0, name='langchain_google.cpython-310.pyc'> - [inotify_buffer.py:52]
